s1_vv,s1_vh,s2_b4_red,s2_b3_green,s2_b2_blue,s2_cloudmask,event,s1_chip_id,s2_chip_id,split
data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151540_20180507T151605_010817_013C63_FF38_02353-03741/VV.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151540_20180507T151605_010817_013C63_FF38_02353-03741/VH.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNK_20180505T091900_02353-03741/B4.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNK_20180505T091900_02353-03741/B3.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNK_20180505T091900_02353-03741/B2.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNK_20180505T091900_02353-03741/LabelCloud.tif,0c7daa97-37f6-4862-867f-b3843f298d9e,S1B_IW_GRDH_1SDV_20180507T151540_20180507T151605_010817_013C63_FF38_02353-03741,S2A_MSIL1C_20180505T070621_N0206_R106_T38NNK_20180505T091900_02353-03741,train
data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151540_20180507T151605_010817_013C63_FF38_03371-08652/VV.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151540_20180507T151605_010817_013C63_FF38_03371-08652/VH.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNK_20180505T091900_03375-08316/B4.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNK_20180505T091900_03375-08316/B3.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNK_20180505T091900_03375-08316/B2.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNK_20180505T091900_03375-08316/LabelCloud.tif,0c7daa97-37f6-4862-867f-b3843f298d9e,S1B_IW_GRDH_1SDV_20180507T151540_20180507T151605_010817_013C63_FF38_03371-08652,S2A_MSIL1C_20180505T070621_N0206_R106_T38NNK_20180505T091900_03375-08316,train
data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_06443-04922/VV.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_06443-04922/VH.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_05421-03906/B4.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_05421-03906/B3.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_05421-03906/B2.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_05421-03906/LabelCloud.tif,0c7daa97-37f6-4862-867f-b3843f298d9e,S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_06443-04922,S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_05421-03906,train
data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151605_20180507T151630_010817_013C63_C906_09293-03569/VV.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151605_20180507T151630_010817_013C63_C906_09293-03569/VH.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNL_20180505T091900_03372-09161/B4.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNL_20180505T091900_03372-09161/B3.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNL_20180505T091900_03372-09161/B2.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNL_20180505T091900_03372-09161/LabelCloud.tif,0c7daa97-37f6-4862-867f-b3843f298d9e,S1B_IW_GRDH_1SDV_20180507T151605_20180507T151630_010817_013C63_C906_09293-03569,S2A_MSIL1C_20180505T070621_N0206_R106_T38NNL_20180505T091900_03372-09161,train
data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_06446-09498/VV.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_06446-09498/VH.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_05931-02380/B4.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_05931-02380/B3.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_05931-02380/B2.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_05931-02380/LabelCloud.tif,0c7daa97-37f6-4862-867f-b3843f298d9e,S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_06446-09498,S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_05931-02380,train
data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_04400-05431/VV.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_04400-05431/VH.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNH_20180505T091900_02356-01530/B4.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNH_20180505T091900_02356-01530/B3.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNH_20180505T091900_02356-01530/B2.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNH_20180505T091900_02356-01530/LabelCloud.tif,0c7daa97-37f6-4862-867f-b3843f298d9e,S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_04400-05431,S2A_MSIL1C_20180505T070621_N0206_R106_T38NNH_20180505T091900_02356-01530,train
data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_08488-04921/VV.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_08488-04921/VH.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_06957-09497/B4.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_06957-09497/B3.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_06957-09497/B2.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_06957-09497/LabelCloud.tif,0c7daa97-37f6-4862-867f-b3843f298d9e,S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_08488-04921,S2A_MSIL1C_20180505T070621_N0206_R106_T38NNJ_20180505T091900_06957-09497,train
data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151540_20180507T151605_010817_013C63_FF38_08482-07804/VV.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151540_20180507T151605_010817_013C63_FF38_08482-07804/VH.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNL_20180505T091900_03371-08652/B4.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNL_20180505T091900_03371-08652/B3.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNL_20180505T091900_03371-08652/B2.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNL_20180505T091900_03371-08652/LabelCloud.tif,0c7daa97-37f6-4862-867f-b3843f298d9e,S1B_IW_GRDH_1SDV_20180507T151540_20180507T151605_010817_013C63_FF38_08482-07804,S2A_MSIL1C_20180505T070621_N0206_R106_T38NNL_20180505T091900_03371-08652,train
data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_04399-04414/VV.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_04399-04414/VH.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNH_20180505T091900_02356-00005/B4.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNH_20180505T091900_02356-00005/B3.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNH_20180505T091900_02356-00005/B2.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NNH_20180505T091900_02356-00005/LabelCloud.tif,0c7daa97-37f6-4862-867f-b3843f298d9e,S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_04399-04414,S2A_MSIL1C_20180505T070621_N0206_R106_T38NNH_20180505T091900_02356-00005,train
data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_01845-00514/VV.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s1/S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_01845-00514/VH.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NML_20180505T091900_08273-06619/B4.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NML_20180505T091900_08273-06619/B3.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NML_20180505T091900_08273-06619/B2.tif,data/raw/data/c2s_ms_floods/chips/0c7daa97-37f6-4862-867f-b3843f298d9e/s2/S2A_MSIL1C_20180505T070621_N0206_R106_T38NML_20180505T091900_08273-06619/LabelCloud.tif,0c7daa97-37f6-4862-867f-b3843f298d9e,S1B_IW_GRDH_1SDV_20180507T151511_20180507T151540_010817_013C63_3087_01845-00514,S2A_MSIL1C_20180505T070621_N0206_R106_T38NML_20180505T091900_08273-06619,train
